"animal","gene","sex","zygosity","week","weight"
"564",114294085,"819",1,1,6.571428571,16.84
"565",114294086,"819",1,1,6.571428571,16.52
"566",114294087,"819",1,1,6.571428571,17.86
"567",114294085,"819",1,1,4.571428571,13.99
"568",114294085,"819",1,1,7.571428571,17.13
"569",114294086,"819",1,1,4.571428571,16.31
"570",114294086,"819",1,1,7.571428571,16.8
"571",114294087,"819",1,1,4.571428571,16.12
"572",114294087,"819",1,1,7.571428571,18.17
"573",114294085,"819",1,1,5.571428571,15.8
"574",114294085,"819",1,1,8.571428571,18.86
"575",114294086,"819",1,1,5.571428571,16.84
"576",114294086,"819",1,1,8.571428571,18.15
"577",114294087,"819",1,1,5.571428571,17.39
"578",114294087,"819",1,1,8.571428571,19.95
"579",114294086,"819",1,1,9.571428571,18.23
"580",114294087,"819",1,1,10.571428571,21.3
"581",114294085,"819",1,1,9.571428571,19.6
"582",114294086,"819",1,1,10.571428571,20.26
"583",114294085,"819",1,1,10.571428571,22.2
"584",114294087,"819",1,1,9.571428571,20.47
"585",114294085,"819",1,1,13.571428571,23.16
"586",114294086,"819",1,1,11.571428571,20.63
"587",114294086,"819",1,1,14.571428571,20.84
"588",114294085,"819",1,1,11.571428571,22.97
"589",114294085,"819",1,1,14.571428571,22.33
"590",114294087,"819",1,1,13.571428571,24.49
"591",114294086,"819",1,1,13.571428571,21.42
"592",114294087,"819",1,1,11.571428571,23.15
"593",114294087,"819",1,1,14.571428571,24.09
"594",114294085,"819",1,1,17.571428571,22.6
"595",114294086,"819",1,1,16.571428571,21.9
"596",114294087,"819",1,1,15.571428571,24.47
"597",114294085,"819",1,1,15.571428571,22.88
"598",114294086,"819",1,1,17.571428571,21.75
"599",114294087,"819",1,1,16.571428571,24.93
"600",114294085,"819",1,1,16.571428571,23.33
